data;temperatura_massima;temperatura_minima
26/05/2013;21,0;6,9
27/05/2013;21,3;8,7
28/05/2013;19,7;11,6
29/05/2013;20,2;9,5
30/05/2013;17,7;9,6
31/05/2013;21,6;10,2
01/06/2013;25,0;10,1
02/06/2013;25,6;12,4
03/06/2013;22,3;12,3
04/06/2013;26,9;11,2
05/06/2013;27,3;12,6
06/06/2013;28,1;10,9
07/06/2013;29,8;11,5
08/06/2013;30,5;12,0
09/06/2013;23,1;12,4
10/06/2013;23,2;13,7
11/06/2013;25,9;13,2
12/06/2013;29,9;15,3
13/06/2013;30,6;13,3
14/06/2013;30,4;14,4
15/06/2013;30,2;16,2
16/06/2013;32,0;13,9
17/06/2013;34,6;14,7
18/06/2013;36,4;17,8
19/06/2013;35,8;20,5
20/06/2013;34,8;17,4
21/06/2013;30,0;17,9
22/06/2013;27,5;14,4
23/06/2013;27,7;16,6
24/06/2013;25,2;14,1
25/06/2013;27,8;12,0
26/06/2013;25,2;13,0
27/06/2013;27,2;13,7
28/06/2013;22,8;14,9
29/06/2013;26,0;12,3
30/06/2013;29,7;10,8
01/07/2013;30,7;11,8
02/07/2013;30,9;12,4
03/07/2013;29,9;13,4
04/07/2013;28,6;17,1
05/07/2013;32,0;14,9
06/07/2013;32,1;18,4
07/07/2013;31,1;19,1
08/07/2013;31,1;20,2
09/07/2013;32,2;19,2
10/07/2013;33,4;17,3
11/07/2013;29,9;18,6
12/07/2013;31,0;17,2
13/07/2013;31,2;17,9
14/07/2013;31,3;18,2
15/07/2013;33,0;15,7
16/07/2013;34,7;17,6
17/07/2013;34,0;18,4
18/07/2013;34,0;17,3
19/07/2013;31,1;16,4
20/07/2013;32,4;16,5
21/07/2013;32,7;14,9
22/07/2013;33,2;17,1
23/07/2013;34,9;17,3
24/07/2013;33,1;18,7
25/07/2013;34,2;17,2
26/07/2013;36,2;20,4
27/07/2013;37,4;18,0
28/07/2013;38,8;18,0
29/07/2013;31,8;19,4
30/07/2013;32,8;19,2
31/07/2013;33,0;15,9
01/08/2013;34,8;17,0
02/08/2013;38,1;16,8
03/08/2013;38,5;18,5
04/08/2013;36,7;18,0
05/08/2013;37,7;17,8
06/08/2013;38,5;18,4
07/08/2013;39,6;18,4
08/08/2013;37,9;18,4
09/08/2013;34,1;21,4
10/08/2013;31,8;18,7
11/08/2013;34,0;18,9
12/08/2013;35,9;16,4
13/08/2013;35,0;18,0
14/08/2013;33,8;17,7
15/08/2013;30,6;19,5
16/08/2013;34,1;20,2
17/08/2013;35,0;15,5
18/08/2013;34,2;15,9
19/08/2013;33,1;16,2
20/08/2013;24,8;17,4
21/08/2013;28,7;20,0
22/08/2013;32,5;17,3
23/08/2013;32,8;15,6
24/08/2013;31,7;17,8
25/08/2013;28,4;16,0
26/08/2013;28,8;17,1
27/08/2013;29,8;17,1
28/08/2013;28,7;17,3
29/08/2013;31,7;15,5
30/08/2013;30,1;14,4
31/08/2013;31,3;12,3
01/09/2013;32,0;12,6
02/09/2013;30,8;15,2
03/09/2013;33,4;13,9
04/09/2013;34,8;14,4
05/09/2013;33,9;15,3
06/09/2013;33,7;16,2
07/09/2013;33,5;16,1
08/09/2013;29,6;17,5
09/09/2013;28,7;16,8
10/09/2013;25,9;15,5
11/09/2013;25,9;15,5
12/09/2013;26,2;12,8
13/09/2013;26,9;13,3
14/09/2013;26,9;12,3
15/09/2013;24,5;14,8
16/09/2013;23,4;14,0
17/09/2013;24,2;14,9
18/09/2013;23,4;11,2
19/09/2013;27,7;15,9
20/09/2013;28,8;12,5
21/09/2013;28,8;12,1
22/09/2013;27,1;13,0
23/09/2013;28,1;9,6
24/09/2013;26,8;10,1
25/09/2013;26,2;11,2
26/09/2013;25,2;15,0
27/09/2013;23,8;15,8
28/09/2013;27,3;17,0
29/09/2013;21,9;15,1
30/09/2013;21,5;13,0
01/10/2013;25,0;11,9
02/10/2013;24,4;15,8
03/10/2013;23,4;10,8
04/10/2013;22,3;14,4
05/10/2013;17,1;14,4
06/10/2013;21,6;14,7
07/10/2013;18,3;14,8
08/10/2013;21,8;14,4
09/10/2013;23,2;12,9
10/10/2013;21,7;14,2
11/10/2013;21,3;11,3
12/10/2013;19,3;9,2
13/10/2013;19,4;7,2
14/10/2013;18,1;10,1
15/10/2013;21,3;13,9
16/10/2013;24,0;12,8
17/10/2013;23,9;11,5
18/10/2013;23,1;9,9
19/10/2013;23,1;12,3
20/10/2013;20,4;12,6
21/10/2013;19,9;14,8
22/10/2013;25,4;14,6
23/10/2013;22,3;15,4
24/10/2013;22,4;16,7
25/10/2013;25,2;15,1
26/10/2013;22,8;13,8
27/10/2013;22,2;13,1
28/10/2013;25,4;16,4
29/10/2013;24,1;17,1
30/10/2013;22,9;13,4
31/10/2013;20,5;14,7
01/11/2013;22,0;8,9
02/11/2013;20,2;12,2
03/11/2013;22,7;12,3
04/11/2013;18,1;12,3
05/11/2013;19,1;10,4
06/11/2013;20,4;8,5
07/11/2013;22,4;11,3
08/11/2013;22,7;13,2
09/11/2013;19,8;11,9
10/11/2013;15,2;10,1
11/11/2013;12,4;8,3
12/11/2013;16,2;11,2
13/11/2013;18,9;13,0
14/11/2013;16,4;11,9
15/11/2013;14,8;11,2
16/11/2013;15,4;11,2
17/11/2013;14,8;9,8
18/11/2013;17,5;9,7
19/11/2013;16,8;7,6
20/11/2013;12,5;6,3
21/11/2013;10,1;4,7
22/11/2013;12,8;3,8
23/11/2013;9,6;4,1
24/11/2013;12,1;3,5
25/11/2013;11,6;0,3
26/11/2013;8,4;-0,2
27/11/2013;4,6;-0,4
28/11/2013;9,6;1,3
29/11/2013;11,2;-2,6
30/11/2013;10,2;-1,5
01/12/2013;9,4;6,6
02/12/2013;10,7;7,6
03/12/2013;13,0;3,1
04/12/2013;12,3;-2,3
05/12/2013;10,6;-3,4
06/12/2013;10,3;3,7
07/12/2013;11,1;1,5
08/12/2013;8,8;0,9
09/12/2013;8,3;-0,5
10/12/2013;10,6;1,0
11/12/2013;8,9;1,4
12/12/2013;12,1;1,8
13/12/2013;7,5;0,8
14/12/2013;9,8;4,0
15/12/2013;14,7;2,2
16/12/2013;12,6;-1,7
17/12/2013;11,9;-2,5
18/12/2013;8,6;-3,4
19/12/2013;8,0;-1,8
20/12/2013;13,2;4,1
21/12/2013;14,7;6,9
22/12/2013;13,2;6,2
23/12/2013;12,0;7,1
24/12/2013;12,3;6,9
25/12/2013;14,4;10,1
26/12/2013;14,1;4,7
27/12/2013;10,8;2,9
28/12/2013;13,4;1,4
29/12/2013;12,6;6,0
30/12/2013;11,6;5,5
31/12/2013;11,2;2,5
