data;temperatura_massima;temperatura_minima
01/01/2013;4,2;-2,5
02/01/2013;9,5;2,6
03/01/2013;14,5;2,8
04/01/2013;9,2;0,0
05/01/2013;9,9;4,6
06/01/2013;9,1;4,7
07/01/2013;10,3;1,6
08/01/2013;8,6;1,8
09/01/2013;11,2;5,0
10/01/2013;11,9;7,1
11/01/2013;9,4;2,7
12/01/2013;9,8;-0,2
13/01/2013;7,2;4,4
14/01/2013;10,3;1,9
15/01/2013;8,9;1,2
16/01/2013;6,0;0,8
17/01/2013;6,5;-1,6
18/01/2013;8,7;-2,0
19/01/2013;6,8;-2,7
20/01/2013;10,6;4,9
21/01/2013;11,9;5,8
22/01/2013;9,4;2,9
23/01/2013;8,6;1,4
24/01/2013;9,2;4,7
25/01/2013;8,0;2,0
26/01/2013;7,5;-0,5
27/01/2013;9,8;-4,0
28/01/2013;6,2;1,6
29/01/2013;12,0;0,1
30/01/2013;10,9;7,4
31/01/2013;15,3;6,4
01/02/2013;16,7;6,0
02/02/2013;13,0;3,9
03/02/2013;10,5;-0,6
04/02/2013;13,1;-2,2
05/02/2013;9,9;1,4
06/02/2013;12,9;4,1
07/02/2013;7,6;3,0
08/02/2013;9,7;1,2
09/02/2013;8,1;-0,5
10/02/2013;8,3;-5,1
11/02/2013;7,0;-0,9
12/02/2013;7,4;0,8
13/02/2013;8,1;0,2
14/02/2013;11,3;1,0
15/02/2013;13,6;-1,5
16/02/2013;12,5;0,8
17/02/2013;11,7;1,5
18/02/2013;9,1;1,2
19/02/2013;12,1;-2,2
20/02/2013;7,7;1,8
21/02/2013;6,5;1,9
22/02/2013;5,3;0,3
23/02/2013;3,3;-1,3
24/02/2013;7,6;1,0
25/02/2013;8,5;0,2
26/02/2013;12,3;-0,5
27/02/2013;8,7;-2,3
28/02/2013;13,7;-1,8
01/03/2013;9,4;-0,5
02/03/2013;12,3;5,4
03/03/2013;16,0;-2,0
04/03/2013;19,1;-1,6
05/03/2013;13,7;0,6
06/03/2013;10,3;7,7
07/03/2013;14,1;8,0
08/03/2013;13,8;11,0
09/03/2013;15,5;10,0
10/03/2013;17,3;9,2
11/03/2013;14,4;7,3
12/03/2013;15,2;6,8
13/03/2013;9,3;3,3
14/03/2013;10,3;2,8
15/03/2013;9,8;0,5
16/03/2013;11,3;-2,6
17/03/2013;10,0;1,9
18/03/2013;14,4;7,1
19/03/2013;14,6;6,2
20/03/2013;13,3;3,0
21/03/2013;16,8;2,6
22/03/2013;14,4;2,6
23/03/2013;16,6;4,2
24/03/2013;15,4;8,8
25/03/2013;9,8;5,5
26/03/2013;6,8;4,3
27/03/2013;14,5;4,4
28/03/2013;17,0;6,8
29/03/2013;15,1;11,2
30/03/2013;15,2;9,6
31/03/2013;15,2;6,7
01/04/2013;17,8;5,9
02/04/2013;14,5;7,1
03/04/2013;17,4;7,6
04/04/2013;14,9;5,2
05/04/2013;12,3;9,1
06/04/2013;20,5;8,8
07/04/2013;15,3;7,9
08/04/2013;13,2;5,4
09/04/2013;16,9;7,6
10/04/2013;17,8;8,2
11/04/2013;19,8;6,4
12/04/2013;21,0;11,2
13/04/2013;19,9;8,0
14/04/2013;24,8;4,9
15/04/2013;26,4;7,6
16/04/2013;26,2;6,9
17/04/2013;28,3;9,7
18/04/2013;27,0;10,1
19/04/2013;26,0;9,2
20/04/2013;20,8;9,8
21/04/2013;19,5;6,2
22/04/2013;19,8;7,0
23/04/2013;20,6;5,6
24/04/2013;25,8;5,1
25/04/2013;25,1;10,1
26/04/2013;26,0;12,4
27/04/2013;21,4;14,2
28/04/2013;24,6;13,3
29/04/2013;29,1;13,2
30/04/2013;28,8;16,0
01/05/2013;28,6;14,8
02/05/2013;21,3;12,6
03/05/2013;26,6;10,8
04/05/2013;26,6;10,1
05/05/2013;20,5;11,5
06/05/2013;23,2;10,6
07/05/2013;23,5;12,3
08/05/2013;25,4;10,2
09/05/2013;28,0;10,9
10/05/2013;23,5;14,2
11/05/2013;23,4;13,7
12/05/2013;23,8;10,1
13/05/2013;24,5;8,3
14/05/2013;25,9;8,5
15/05/2013;23,7;9,8
16/05/2013;21,2;13,3
17/05/2013;19,5;11,9
18/05/2013;24,4;10,1
19/05/2013;20,6;10,7
20/05/2013;20,9;9,7
21/05/2013;21,0;8,3
22/05/2013;23,8;6,9
23/05/2013;22,7;11,2
24/05/2013;18,4;11,2
25/05/2013;12,3;7,4
