data;temperatura_massima;temperatura_minima
01/01/2016;11,8;1,4
02/01/2016;9,5;5,3
03/01/2016;11,2;5,6
04/01/2016;11,0;5,2
05/01/2016;11,6;6,6
06/01/2016;8,8;6,4
07/01/2016;9,5;5,4
08/01/2016;11,9;8,1
09/01/2016;16,7;8,6
10/01/2016;17,2;12,1
11/01/2016;17,0;12,3
12/01/2016;14,8;11,4
13/01/2016;15,4;5,5
14/01/2016;8,2;4,7
15/01/2016;12,9;2,1
16/01/2016;9,5;1,1
17/01/2016;9,4;0,4
18/01/2016;12,3;-1,4
19/01/2016;9,5;-2,3
20/01/2016;14,3;-2,2
21/01/2016;10,8;0,3
22/01/2016;13,5;0,0
23/01/2016;7,1;0,3
24/01/2016;12,6;-1,0
25/01/2016;12,8;3,3
26/01/2016;15,7;7,4
27/01/2016;15,2;10,9
28/01/2016;14,0;11,0
29/01/2016;16,4;10,9
30/01/2016;16,1;10,5
31/01/2016;13,4;11,8
01/02/2016;19,1;9,4
02/02/2016;16,8;8,6
03/02/2016;15,7;7,0
04/02/2016;15,8;4,2
05/02/2016;15,7;2,0
06/02/2016;14,6;3,0
07/02/2016;13,6;9,9
08/02/2016;15,5;11,4
09/02/2016;16,1;11,8
10/02/2016;13,9;7,6
11/02/2016;15,0;4,3
12/02/2016;14,4;6,9
13/02/2016;14,4;8,7
14/02/2016;15,2;10,5
15/02/2016;12,0;8,2
16/02/2016;13,6;8,2
17/02/2016;10,8;6,0
18/02/2016;14,4;6,0
19/02/2016;14,0;6,8
20/02/2016;14,7;4,3
21/02/2016;13,7;7,3
22/02/2016;17,1;6,7
23/02/2016;16,5;10,3
24/02/2016;17,6;11,2
25/02/2016;16,3;9,3
26/02/2016;14,5;8,8
27/02/2016;14,0;8,2
28/02/2016;14,5;9,7
29/02/2016;13,0;8,1
01/03/2016;16,5;4,7
02/03/2016;17,8;5,3
03/03/2016;12,1;6,2
04/03/2016;15,0;3,5
05/03/2016;15,8;8,6
06/03/2016;14,7;6,0
07/03/2016;12,2;5,1
08/03/2016;10,4;5,0
09/03/2016;11,6;4,7
10/03/2016;14,6;7,5
11/03/2016;14,1;9,8
12/03/2016;15,0;11,0
13/03/2016;12,8;10,3
14/03/2016;14,3;9,0
15/03/2016;17,3;7,7
16/03/2016;14,1;8,7
17/03/2016;14,6;8,7
18/03/2016;21,3;5,9
19/03/2016;19,2;5,5
20/03/2016;17,9;7,8
21/03/2016;16,7;10,5
22/03/2016;18,8;9,5
23/03/2016;13,6;8,8
24/03/2016;17,7;8,1
25/03/2016;18,8;3,5
26/03/2016;21,1;5,9
27/03/2016;19,6;6,2
28/03/2016;18,1;10,9
29/03/2016;20,9;10,7
30/03/2016;22,3;10,4
31/03/2016;22,4;10,4
01/04/2016;23,0;12,7
02/04/2016;24,0;12,6
03/04/2016;26,0;11,0
04/04/2016;26,0;12,9
05/04/2016;26,7;11,9
06/04/2016;29,1;11,2
07/04/2016;28,3;11,1
08/04/2016;18,4;12,2
09/04/2016;17,9;9,0
10/04/2016;22,2;9,5
11/04/2016;23,3;8,4
12/04/2016;24,4;9,7
13/04/2016;23,8;11,6
14/04/2016;21,6;11,7
15/04/2016;24,7;8,9
16/04/2016;25,1;10,4
17/04/2016;23,6;13,3
18/04/2016;23,3;12,2
19/04/2016;22,1;11,1
20/04/2016;24,8;9,2
21/04/2016;26,9;9,2
22/04/2016;22,8;12,8
23/04/2016;15,2;12,8
24/04/2016;17,5;9,7
25/04/2016;17,5;7,7
26/04/2016;16,6;7,1
27/04/2016;18,8;10,9
28/04/2016;17,4;9,7
29/04/2016;23,8;8,3
30/04/2016;23,8;9,1
01/05/2016;21,2;10,9
02/05/2016;18,0;12,6
03/05/2016;24,4;11,8
04/05/2016;25,2;11,8
05/05/2016;21,7;13,4
06/05/2016;25,2;9,8
07/05/2016;25,7;11,0
08/05/2016;23,8;14,5
09/05/2016;25,1;14,7
10/05/2016;26,8;16,1
11/05/2016;20,7;16,3
12/05/2016;21,4;15,0
13/05/2016;21,1;14,6
14/05/2016;24,5;13,7
15/05/2016;24,5;14,2
16/05/2016;22,5;11,5
17/05/2016;23,5;12,0
18/05/2016;24,7;10,5
19/05/2016;22,0;12,6
20/05/2016;23,6;12,6
21/05/2016;29,0;11,1
22/05/2016;30,0;12,1
23/05/2016;20,6;13,6
24/05/2016;23,6;11,6
25/05/2016;25,3;12,2
26/05/2016;29,1;12,3
27/05/2016;32,2;15,2
28/05/2016;32,8;15,9
29/05/2016;23,3;17,1
30/05/2016;25,2;15,4
31/05/2016;25,2;12,9
01/06/2016;23,6;14,4
02/06/2016;20,1;15,3
03/06/2016;23,3;15,6
04/06/2016;24,4;16,7
05/06/2016;26,8;16,5
06/06/2016;28,1;14,6
07/06/2016;30,9;15,2
08/06/2016;29,1;16,7
09/06/2016;23,8;17,1
10/06/2016;27,9;17,5
11/06/2016;28,7;17,7
12/06/2016;25,9;19,0
13/06/2016;28,4;17,8
14/06/2016;26,2;17,6
15/06/2016;27,5;15,9
16/06/2016;31,5;16,8
17/06/2016;26,3;16,4
18/06/2016;25,7;14,3
19/06/2016;24,9;16,2
20/06/2016;25,7;14,9
21/06/2016;31,4;15,2
22/06/2016;32,5;16,6
23/06/2016;34,4;19,5
24/06/2016;37,7;20,9
25/06/2016;34,7;22,9
26/06/2016;34,4;19,6
27/06/2016;31,4;18,5
28/06/2016;34,3;18,2
29/06/2016;34,3;18,7
30/06/2016;34,0;19,8
01/07/2016;35,2;19,0
02/07/2016;33,8;19,8
03/07/2016;33,4;20,2
04/07/2016;33,2;17,3
05/07/2016;37,5;21,1
06/07/2016;36,8;22,5
07/07/2016;37,3;21,3
08/07/2016;35,6;20,6
09/07/2016;35,6;20,7
10/07/2016;37,8;21,7
11/07/2016;38,8;21,5
12/07/2016;36,7;22,5
13/07/2016;32,2;22,3
14/07/2016;30,8;19,3
15/07/2016;23,5;15,9
16/07/2016;30,9;14,8
17/07/2016;32,4;15,9
18/07/2016;34,0;17,4
19/07/2016;36,2;17,7
20/07/2016;37,0;19,2
21/07/2016;35,1;18,4
22/07/2016;37,4;18,4
23/07/2016;31,6;21,4
24/07/2016;33,3;21,9
25/07/2016;35,6;21,7
26/07/2016;35,5;19,5
27/07/2016;37,1;20,8
28/07/2016;36,3;21,2
29/07/2016;35,9;20,2
30/07/2016;34,9;20,3
31/07/2016;35,4;20,7
01/08/2016;33,5;22,3
02/08/2016;34,2;20,4
03/08/2016;37,3;21,2
04/08/2016;37,5;22,0
05/08/2016;30,9;18,3
06/08/2016;28,4;19,0
07/08/2016;30,3;20,8
08/08/2016;32,5;21,8
09/08/2016;35,9;17,7
10/08/2016;32,6;18,8
11/08/2016;27,3;18,4
12/08/2016;29,0;15,2
13/08/2016;32,1;16,2
14/08/2016;36,6;17,1
15/08/2016;35,9;18,9
16/08/2016;33,4;18,7
17/08/2016;31,6;19,9
18/08/2016;32,0;21,5
19/08/2016;32,7;22,0
20/08/2016;35,0;20,0
21/08/2016;34,9;22,4
22/08/2016;29,5;20,4
23/08/2016;30,5;17,6
24/08/2016;32,1;22,8
25/08/2016;32,4;22,9
26/08/2016;33,6;19,1
27/08/2016;35,6;19,8
28/08/2016;34,2;18,4
29/08/2016;34,2;20,2
30/08/2016;33,3;20,6
31/08/2016;31,6;19,3
01/09/2016;35,5;17,0
02/09/2016;36,2;18,1
03/09/2016;35,3;18,9
04/09/2016;33,0;20,9
05/09/2016;34,0;22,7
06/09/2016;29,6;19,0
07/09/2016;26,7;20,0
08/09/2016;30,6;21,7
09/09/2016;30,9;18,7
10/09/2016;31,4;20,4
11/09/2016;31,5;20,2
12/09/2016;32,3;20,0
13/09/2016;34,2;18,9
14/09/2016;33,4;17,7
15/09/2016;26,1;19,4
16/09/2016;21,9;17,3
17/09/2016;24,9;17,1
18/09/2016;23,6;15,9
19/09/2016;26,9;14,2
20/09/2016;27,9;14,5
21/09/2016;26,1;15,8
22/09/2016;25,5;15,7
23/09/2016;27,1;13,5
24/09/2016;27,4;15,0
25/09/2016;28,2;12,6
26/09/2016;27,1;12,4
27/09/2016;27,0;12,3
28/09/2016;27,4;12,8
29/09/2016;27,3;13,2
30/09/2016;25,8;15,9
01/10/2016;25,7;14,6
02/10/2016;25,6;17,5
03/10/2016;26,5;15,0
04/10/2016;25,2;10,7
05/10/2016;24,5;11,0
06/10/2016;19,8;12,5
07/10/2016;20,4;12,0
08/10/2016;16,5;11,3
09/10/2016;20,0;11,9
10/10/2016;17,5;11,0
11/10/2016;13,5;9,6
12/10/2016;19,4;6,2
13/10/2016;15,1;9,1
14/10/2016;21,9;12,8
15/10/2016;23,7;14,2
16/10/2016;23,4;13,7
17/10/2016;22,2;13,9
18/10/2016;21,5;15,8
19/10/2016;21,6;14,7
20/10/2016;18,4;14,1
21/10/2016;19,6;10,6
22/10/2016;20,6;7,9
23/10/2016;18,1;11,0
24/10/2016;23,6;15,9
25/10/2016;24,2;17,4
26/10/2016;24,3;16,6
27/10/2016;20,4;14,4
28/10/2016;19,1;10,8
29/10/2016;23,7;8,1
30/10/2016;24,0;8,8
31/10/2016;22,2;9,1
01/11/2016;21,2;8,4
02/11/2016;21,0;14,6
03/11/2016;21,1;12,9
04/11/2016;18,2;9,8
05/11/2016;19,2;13,1
06/11/2016;20,4;13,3
07/11/2016;17,3;10,1
08/11/2016;14,1;6,6
09/11/2016;14,3;4,1
10/11/2016;13,7;7,9
11/11/2016;14,4;7,6
12/11/2016;14,4;4,5
13/11/2016;11,8;2,3
14/11/2016;13,1;5,1
15/11/2016;12,5;3,6
16/11/2016;14,8;1,1
17/11/2016;14,2;6,3
18/11/2016;16,4;11,3
19/11/2016;16,8;13,1
20/11/2016;19,5;12,2
21/11/2016;18,0;13,7
22/11/2016;18,5;12,6
23/11/2016;19,0;11,7
24/11/2016;16,8;10,9
25/11/2016;18,6;11,3
26/11/2016;17,0;8,1
27/11/2016;12,5;7,0
28/11/2016;15,0;5,5
29/11/2016;8,1;4,8
30/11/2016;12,1;-0,3
01/12/2016;10,0;0,5
02/12/2016;13,7;7,3
03/12/2016;13,5;6,7
04/12/2016;15,5;8,3
05/12/2016;14,4;6,6
06/12/2016;16,5;4,4
07/12/2016;16,0;3,7
08/12/2016;14,6;1,6
09/12/2016;10,5;1,1
10/12/2016;14,9;3,2
11/12/2016;14,6;8,6
12/12/2016;17,1;5,1
13/12/2016;14,5;1,9
14/12/2016;9,2;0,3
15/12/2016;14,0;4,6
16/12/2016;11,9;2,2
17/12/2016;10,8;2,2
18/12/2016;10,7;-0,8
19/12/2016;9,7;0,4
20/12/2016;13,1;9,7
21/12/2016;16,0;6,8
22/12/2016;15,2;3,0
23/12/2016;13,4;0,8
24/12/2016;11,6;0,6
25/12/2016;12,4;5,5
26/12/2016;8,7;0,3
27/12/2016;11,8;3,6
28/12/2016;14,2;1,1
29/12/2016;10,7;1,5
30/12/2016;10,8;5,2
31/12/2016;12,8;-0,4
