data;temperatura_massima;temperatura_minima
01/01/2015;7,8;1,2
02/01/2015;12,7;0,3
03/01/2015;8,8;4,0
04/01/2015;15,2;8,8
05/01/2015;12,7;2,3
06/01/2015;12,7;-0,4
07/01/2015;10,9;3,9
08/01/2015;14,2;5,5
09/01/2015;12,0;8,4
10/01/2015;12,8;11,1
11/01/2015;12,7;7,8
12/01/2015;14,6;2,7
13/01/2015;14,9;1,8
14/01/2015;13,2;7,2
15/01/2015;16,4;8,7
16/01/2015;12,8;9,5
17/01/2015;13,9;8,1
18/01/2015;13,2;2,9
19/01/2015;10,7;-0,3
20/01/2015;11,8;2,9
21/01/2015;12,7;7,1
22/01/2015;11,8;8,6
23/01/2015;11,6;8,6
24/01/2015;13,8;7,8
25/01/2015;10,2;5,5
26/01/2015;9,7;1,9
27/01/2015;9,1;-1,8
28/01/2015;10,6;-1,9
29/01/2015;8,2;-1,6
30/01/2015;10;0,7
31/01/2015;8;-0,4
01/02/2015;8,6;1,8
02/02/2015;10,6;-0,2
03/02/2015;7,8;2,0
04/02/2015;10,1;5,9
05/02/2015;7,7;4,3
06/02/2015;6,2;2,5
07/02/2015;7,8;3,8
08/02/2015;10,0;-1,2
09/02/2015;9,9;-0,3
10/02/2015;13,6;-1,3
11/02/2015;17,3;0,8
12/02/2015;16,7;1,6
13/02/2015;13,6;1,2
14/02/2015;13,5;6,3
15/02/2015;10,5;7,8
16/02/2015;13,0;8,3
17/02/2015;14,3;8,0
18/02/2015;11,8;6,1
19/02/2015;14,5;1,4
20/02/2015;13,3;-0,9
21/02/2015;10,6;6,2
22/02/2015;11,3;7,1
23/02/2015;16,0;8,6
24/02/2015;12,5;6,5
25/02/2015;11,9;7,2
26/02/2015;12,0;8,6
27/02/2015;15,0;4,5
28/02/2015;16,7;2,6
01/03/2015;14,3;2,4
02/03/2015;14,1;8,3
03/03/2015;19,0;9,2
04/03/2015;11,9;7,9
05/03/2015;10,0;5,2
06/03/2015;11,6;6,6
07/03/2015;12,3;4,6
08/03/2015;12,3;5,7
09/03/2015;13,0;5,4
10/03/2015;17,0;1,4
11/03/2015;13,9;3,3
12/03/2015;13,6;4,9
13/03/2015;16,2;0,9
14/03/2015;14,8;3,1
15/03/2015;14,0;5,7
16/03/2015;11,5;8,1
17/03/2015;15,2;9,4
18/03/2015;17,8;9,4
19/03/2015;19,9;4,0
20/03/2015;20,2;5,4
21/03/2015;16,3;5,8
22/03/2015;15,9;8,4
23/03/2015;17,7;11,0
24/03/2015;17,7;9,3
25/03/2015;14,7;11,1
26/03/2015;16,6;9,7
27/03/2015;13,7;8,2
28/03/2015;19,0;8,0
29/03/2015;20,0;4,5
30/03/2015;17,1;9,2
31/03/2015;20,2;10,2
01/04/2015;22,1;10,4
02/04/2015;20,4;5,5
03/04/2015;19,6;5,7
04/04/2015;14,1;7,5
05/04/2015;10,5;7,4
06/04/2015;12,4;4,2
07/04/2015;13,3;3,6
08/04/2015;18,3;0,2
09/04/2015;22,5;4,1
10/04/2015;21,7;5,9
11/04/2015;18,6;6,9
12/04/2015;23,7;7,1
13/04/2015;24,1;7,9
14/04/2015;22,6;10,0
15/04/2015;24,7;9,1
16/04/2015;24,0;8,3
17/04/2015;19,4;13,2
18/04/2015;19,7;10,6
19/04/2015;15,6;10,4
20/04/2015;22,9;9,0
21/04/2015;25,0;5,8
22/04/2015;25,0;7,4
23/04/2015;22,6;8,8
24/04/2015;22,6;9,2
25/04/2015;22,2;9,2
26/04/2015;22,1;13,6
27/04/2015;17,9;11,3
28/04/2015;17,7;10,4
29/04/2015;22,7;11,6
30/04/2015;19,6;11,1
01/05/2015;20,1;10,4
02/05/2015;21,7;13,6
03/05/2015;22,5;14,5
04/05/2015;28,1;14,6
05/05/2015;29,8;15,3
06/05/2015;25,2;14,9
07/05/2015;26,5;13,3
08/05/2015;24,6;11,4
09/05/2015;27,4;11,2
10/05/2015;27,7;13,7
11/05/2015;29,6;12,4
12/05/2015;29,5;12,9
13/05/2015;25,3;13,8
14/05/2015;26,2;14,2
15/05/2015;22,7;12,8
16/05/2015;20,9;10,4
17/05/2015;26,7;17,9
18/05/2015;30,5;13,9
19/05/2015;26,4;15,5
20/05/2015;21,6;12,0
21/05/2015;19,4;12,2
22/05/2015;15,6;11,1
23/05/2015;17,0;11,5
24/05/2015;20,8;12,2
25/05/2015;24,9;9,9
26/05/2015;23,4;10,8
27/05/2015;21,3;13,7
28/05/2015;24,9;10,8
29/05/2015;26,3;10,9
30/05/2015;25,4;12,2
31/05/2015;27,4;12
01/06/2015;29,0;12,7
02/06/2015;29,4;13,6
03/06/2015;31,0;14,6
04/06/2015;32,5;16,4
05/06/2015;32,5;18,4
06/06/2015;34,4;18,0
07/06/2015;32,8;18,8
08/06/2015;31,9;19,3
09/06/2015;29,1;17,9
10/06/2015;31,5;17,3
11/06/2015;32,6;16,7
12/06/2015;29,5;18,1
13/06/2015;31,6;17,6
14/06/2015;26,0;17,2
15/06/2015;25,8;18,0
16/06/2015;27,4;16,7
17/06/2015;24,3;17,7
18/06/2015;27,8;15,6
19/06/2015;27,4;15,8
20/06/2015;28,7;18,0
21/06/2015;28,1;14,7
22/06/2015;29,3;14,7
23/06/2015;30,1;19,1
24/06/2015;24,8;14,1
25/06/2015;28,4;14,9
26/06/2015;31,0;15,8
27/06/2015;30,8;16,5
28/06/2015;32,5;17,0
29/06/2015;32,3;19,7
30/06/2015;32,5;19,7
01/07/2015;35,2;20,0
02/07/2015;35,1;21,1
03/07/2015;35,6;21,6
04/07/2015;36,6;21,3
05/07/2015;37,1;22,5
06/07/2015;35,9;22,3
07/07/2015;36,6;21,2
08/07/2015;34,4;22,8
09/07/2015;30,1;22,6
