data;temperatura_massima;temperatura_minima
10/07/2015;31,2;22,9
11/07/2015;34,4;19,3
12/07/2015;35,0;20,3
13/07/2015;33,4;20,5
14/07/2015;36,4;20,6
15/07/2015;37,7;21,3
16/07/2015;37,9;22,1
17/07/2015;37,2;21,4
18/07/2015;37,2;21,9
19/07/2015;36,4;21,1
20/07/2015;36,6;21,1
21/07/2015;38,4;21,5
22/07/2015;38,8;20,1
23/07/2015;36,9;19,5
24/07/2015;36,2;21,9
25/07/2015;29,4;21,1
26/07/2015;33,7;20,0
27/07/2015;31,2;21,9
28/07/2015;31,0;19,8
29/07/2015;31,3;19,6
30/07/2015;33,5;22,1
31/07/2015;31,1;20,1
01/08/2015;35,1;20,4
02/08/2015;33,5;19,1
03/08/2015;35,5;20,5
04/08/2015;37,6;20,9
05/08/2015;38,0;21,7
06/08/2015;37,7;21,9
07/08/2015;38,1;22,7
08/08/2015;40,0;23,6
09/08/2015;39,9;23,5
10/08/2015;27,3;20,8
11/08/2015;34,0;19,9
12/08/2015;35,9;20,5
13/08/2015;39,0;20,9
14/08/2015;35,3;21,3
15/08/2015;32,3;21,0
16/08/2015;29,0;19,6
17/08/2015;29,8;17,9
18/08/2015;31,6;18,0
19/08/2015;28,6;17,9
20/08/2015;30,0;15,9
21/08/2015;30,4;17,5
22/08/2015;31,3;17,3
23/08/2015;32,0;18,1
24/08/2015;26,6;19,6
25/08/2015;30,2;18,8
26/08/2015;33,8;15,7
27/08/2015;34,7;18,3
28/08/2015;35,1;19,1
29/08/2015;37,4;19,1
30/08/2015;36,0;20,5
31/08/2015;36,7;19,0
01/09/2015;34,1;18,3
02/09/2015;32,8;19,1
03/09/2015;31,5;18,3
04/09/2015;30,9;20,9
05/09/2015;27,9;18,1
06/09/2015;29,5;15,8
07/09/2015;28,5;14,9
08/09/2015;27,4;14,5
09/09/2015;25,7;12,5
10/09/2015;26,5;16,8
11/09/2015;29,0;14,7
12/09/2015;29,6;14,4
13/09/2015;22,4;16,2
14/09/2015;28,8;20,9
15/09/2015;28,3;20,5
16/09/2015;31,3;20,9
17/09/2015;33,4;23,6
18/09/2015;30,1;18,3
19/09/2015;26,9;15,3
20/09/2015;26,9;14,7
21/09/2015;27,6;14,5
22/09/2015;26,3;13,8
23/09/2015;21,6;15,4
24/09/2015;19,9;13,1
25/09/2015;23,2;15,9
26/09/2015;24,1;13,3
27/09/2015;23,7;13,9
28/09/2015;20,9;16,8
29/09/2015;19,7;15,2
30/09/2015;19,6;14,9
01/10/2015;16,6;14,1
02/10/2015;23,5;16,6
03/10/2015;24,3;15,0
04/10/2015;23,6;15,6
05/10/2015;26,7;18,0
06/10/2015;25,3;18,1
07/10/2015;25,0;17,1
08/10/2015;24,3;14,9
09/10/2015;24,6;12,5
10/10/2015;18,8;15,3
11/10/2015;23,0;12,7
12/10/2015;21,3;11,8
13/10/2015;19,3;16,2
14/10/2015;20,4;16,1
15/10/2015;17,0;12,3
16/10/2015;17,6;10,0
17/10/2015;18,5;10,7
18/10/2015;18,8;10,0
19/10/2015;20,4;11,4
20/10/2015;19,1;9,5
21/10/2015;17,0;12,3
22/10/2015;17,1;11,1
23/10/2015;20,0;12,3
24/10/2015;23,9;9,2
25/10/2015;20,7;9,0
26/10/2015;21,4;9,6
27/10/2015;18,7;8,4
28/10/2015;18,3;13,7
29/10/2015;18,5;13,1
30/10/2015;20,1;14,0
31/10/2015;18,5;13,9
01/11/2015;18,3;12,5
02/11/2015;19,4;10,4
03/11/2015;21,6;7,7
04/11/2015;22,2;13,7
05/11/2015;22,7;14,1
06/11/2015;21,8;12,5
07/11/2015;21,7;11,2
08/11/2015;21,4;8,6
09/11/2015;18,8;11,6
10/11/2015;21,2;11,3
11/11/2015;16,9;12,9
12/11/2015;20,2;9,1
13/11/2015;16,9;8,4
14/11/2015;20,4;12,4
15/11/2015;17,1;12,7
16/11/2015;19,7;11,2
17/11/2015;17,0;11,3
18/11/2015;19,0;14,1
19/11/2015;16,3;12,5
20/11/2015;18,4;13,5
21/11/2015;17,4;7,3
22/11/2015;12,1;5,2
23/11/2015;9,5;4,9
24/11/2015;11,5;3,5
25/11/2015;10,5;1,0
26/11/2015;10,2;5,1
27/11/2015;11,7;5,0
28/11/2015;10,8;1,0
29/11/2015;14,8;4,5
30/11/2015;12,9;4,9
