SottoTitolo2,StottoTitolo3
Periodo riferimento: 2023,Regione: TOSCANA - Piazza: GROSSETO

Macro_Categoria,Mese,SettimanaPerMese,Categoria,Gruppo,Prodotto,Textbox111,PrezzoMedioPerUdM3,Textbox292,Varieta,Textbox112,PrezzoMedioPerUdM8,Textbox293,Varieta1,Textbox113,PrezzoMedioPerUdM4,Textbox294,Varieta2,Textbox114,PrezzoMedioPerUdM5,Textbox295,Varieta3,Textbox115,PrezzoMedioPerUdM6,Textbox296
COLTIVAZIONI,gen,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"426,15","343,38",Buono Mercantile,€/t,"431,06","347,14",,,,,,,,,,,,
COLTIVAZIONI,gen,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"438,16","343,38",Buono Mercantile,€/t,"439,28","347,14",,,,,,,,,,,,
COLTIVAZIONI,gen,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"434,46","343,38",Buono Mercantile,€/t,"436,78","347,14",,,,,,,,,,,,
COLTIVAZIONI,gen,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"428,46","343,38",Buono Mercantile,€/t,"431,78","347,14",,,,,,,,,,,,
COLTIVAZIONI,feb,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"402,70","343,38",Buono Mercantile,€/t,"402,38","347,14",,,,,,,,,,,,
COLTIVAZIONI,feb,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"395,20","343,38",Buono Mercantile,€/t,"397,38","347,14",,,,,,,,,,,,
COLTIVAZIONI,feb,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"394,20","343,38",Buono Mercantile,€/t,"397,38","347,14",,,,,,,,,,,,
COLTIVAZIONI,feb,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"392,20","343,38",Buono Mercantile,€/t,"394,88","347,14",,,,,,,,,,,,
COLTIVAZIONI,mar,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"386,74","343,38",Buono Mercantile,€/t,"387,87","347,14",,,,,,,,,,,,
COLTIVAZIONI,mar,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"384,24","343,38",Buono Mercantile,€/t,"387,87","347,14",,,,,,,,,,,,
COLTIVAZIONI,mar,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"384,24","343,38",Buono Mercantile,€/t,"387,87","347,14",,,,,,,,,,,,
COLTIVAZIONI,mar,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"369,04","343,38",Buono Mercantile,€/t,"373,62","347,14",,,,,,,,,,,,
COLTIVAZIONI,mar,V,Cereali E Derivati,Frumento,Frumento Duro,€/t,"351,04","343,38",Buono Mercantile,€/t,"358,62","347,14",,,,,,,,,,,,
COLTIVAZIONI,apr,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"335,82","343,38",Buono Mercantile,€/t,"339,16","347,14",,,,,,,,,,,,
COLTIVAZIONI,apr,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"329,02","343,38",Buono Mercantile,€/t,"332,16","347,14",,,,,,,,,,,,
COLTIVAZIONI,apr,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"324,52","343,38",Buono Mercantile,€/t,"329,66","347,14",,,,,,,,,,,,
COLTIVAZIONI,apr,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"324,52","343,38",Buono Mercantile,€/t,"329,66","347,14",,,,,,,,,,,,
COLTIVAZIONI,mag,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"317,15","343,38",Buono Mercantile,€/t,"318,90","347,14",,,,,,,,,,,,
COLTIVAZIONI,mag,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"317,15","343,38",Buono Mercantile,€/t,"318,90","347,14",,,,,,,,,,,,
COLTIVAZIONI,mag,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"317,15","343,38",Buono Mercantile,€/t,"318,90","347,14",,,,,,,,,,,,
COLTIVAZIONI,mag,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"317,15","343,38",Buono Mercantile,€/t,"318,90","347,14",,,,,,,,,,,,
COLTIVAZIONI,giu,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"316,24","343,38",Buono Mercantile,€/t,"317,19","347,14",,,,,,,,,,,,
COLTIVAZIONI,giu,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"316,24","343,38",Buono Mercantile,€/t,"317,19","347,14",,,,,,,,,,,,
COLTIVAZIONI,giu,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"316,24","343,38",Buono Mercantile,€/t,"317,19","347,14",,,,,,,,,,,,
COLTIVAZIONI,giu,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"314,84","343,38",Buono Mercantile,€/t,"315,37","347,14",,,,,,,,,,,,
COLTIVAZIONI,giu,V,Cereali E Derivati,Frumento,Frumento Duro,€/t,"314,84","343,38",Buono Mercantile,€/t,"315,37","347,14",,,,,,,,,,,,
COLTIVAZIONI,lug,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"336,18","343,38",Buono Mercantile,€/t,"327,08","347,14",,,,,,,,,,,,
COLTIVAZIONI,lug,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"287,47","343,38",Buono Mercantile,€/t,"286,04","347,14",,,,,,,,,,,,
COLTIVAZIONI,lug,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"306,47","343,38",Buono Mercantile,€/t,"291,04","347,14",,,,,,,,,,,,
COLTIVAZIONI,lug,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"327,97","343,38",Buono Mercantile,€/t,"323,54","347,14",,,,,,,,,,,,
COLTIVAZIONI,ago,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"345,80","343,38",Buono Mercantile,€/t,"349,36","347,14",,,,,,,,,,,,
COLTIVAZIONI,ago,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"352,00","343,38",Buono Mercantile,€/t,"358,72","347,14",,,,,,,,,,,,
COLTIVAZIONI,ago,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"352,00","343,38",Buono Mercantile,€/t,"358,72","347,14",,,,,,,,,,,,
COLTIVAZIONI,ago,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"350,80","343,38",Buono Mercantile,€/t,"354,36","347,14",,,,,,,,,,,,
COLTIVAZIONI,ago,V,Cereali E Derivati,Frumento,Frumento Duro,€/t,"341,20","343,38",Buono Mercantile,€/t,"345,36","347,14",,,,,,,,,,,,
COLTIVAZIONI,set,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"327,64","343,38",Buono Mercantile,€/t,"327,58","347,14",,,,,,,,,,,,
COLTIVAZIONI,set,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"315,24","343,38",Buono Mercantile,€/t,"325,33","347,14",,,,,,,,,,,,
COLTIVAZIONI,set,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"315,24","343,38",Buono Mercantile,€/t,"325,33","347,14",,,,,,,,,,,,
COLTIVAZIONI,set,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"315,24","343,38",Buono Mercantile,€/t,"325,33","347,14",,,,,,,,,,,,
COLTIVAZIONI,ott,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"313,79","343,38",Buono Mercantile,€/t,"325,33","347,14",,,,,,,,,,,,
COLTIVAZIONI,ott,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"313,79","343,38",Buono Mercantile,€/t,"325,33","347,14",,,,,,,,,,,,
COLTIVAZIONI,ott,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"322,29","343,38",Buono Mercantile,€/t,"331,58","347,14",,,,,,,,,,,,
COLTIVAZIONI,ott,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"333,99","343,38",Buono Mercantile,€/t,"343,33","347,14",,,,,,,,,,,,
COLTIVAZIONI,nov,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"329,81","343,38",Buono Mercantile,€/t,"338,51","347,14",,,,,,,,,,,,
COLTIVAZIONI,nov,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"329,81","343,38",Buono Mercantile,€/t,"338,51","347,14",,,,,,,,,,,,
COLTIVAZIONI,nov,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"330,81","343,38",Buono Mercantile,€/t,"338,51","347,14",,,,,,,,,,,,
COLTIVAZIONI,nov,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"333,81","343,38",Buono Mercantile,€/t,"338,51","347,14",,,,,,,,,,,,
COLTIVAZIONI,nov,V,Cereali E Derivati,Frumento,Frumento Duro,€/t,"328,81","343,38",Buono Mercantile,€/t,"333,51","347,14",,,,,,,,,,,,
COLTIVAZIONI,dic,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"326,13","343,38",Buono Mercantile,€/t,"330,55","347,14",,,,,,,,,,,,
COLTIVAZIONI,dic,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"326,13","343,38",Buono Mercantile,€/t,"330,55","347,14",,,,,,,,,,,,
COLTIVAZIONI,dic,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"319,08","343,38",Buono Mercantile,€/t,"328,60","347,14",,,,,,,,,,,,
COLTIVAZIONI,dic,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"319,08","343,38",Buono Mercantile,€/t,"328,60","347,14",,,,,,,,,,,,
COLTIVAZIONI,gen,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"426,15","343,38",Fino,€/t,"421,23","352,77",,,,,,,,,,,,
COLTIVAZIONI,gen,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"438,16","343,38",Fino,€/t,"438,62","352,77",,,,,,,,,,,,
COLTIVAZIONI,gen,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"434,46","343,38",Fino,€/t,"436,87","352,77",,,,,,,,,,,,
COLTIVAZIONI,gen,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"428,46","343,38",Fino,€/t,"431,87","352,77",,,,,,,,,,,,
COLTIVAZIONI,feb,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"402,70","343,38",Fino,€/t,"401,88","352,77",,,,,,,,,,,,
COLTIVAZIONI,feb,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"395,20","343,38",Fino,€/t,"396,88","352,77",,,,,,,,,,,,
COLTIVAZIONI,feb,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"394,20","343,38",Fino,€/t,"396,88","352,77",,,,,,,,,,,,
COLTIVAZIONI,feb,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"392,20","343,38",Fino,€/t,"394,38","352,77",,,,,,,,,,,,
COLTIVAZIONI,mar,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"386,74","343,38",Fino,€/t,"387,73","352,77",,,,,,,,,,,,
COLTIVAZIONI,mar,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"384,24","343,38",Fino,€/t,"387,73","352,77",,,,,,,,,,,,
COLTIVAZIONI,mar,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"384,24","343,38",Fino,€/t,"387,73","352,77",,,,,,,,,,,,
COLTIVAZIONI,mar,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"369,04","343,38",Fino,€/t,"375,23","352,77",,,,,,,,,,,,
COLTIVAZIONI,mar,V,Cereali E Derivati,Frumento,Frumento Duro,€/t,"351,04","343,38",Fino,€/t,"360,23","352,77",,,,,,,,,,,,
